grupo,fase,fecha,hora_arg,partido,sede
16avos,16avos,03/07/2026,15:00,P88: 2º Grupo D vs 2º Grupo G,Dallas Stadium
16avos,16avos,03/07/2026,19:00,P86: 1º Grupo J vs 2º Grupo H,Miami Stadium
16avos,16avos,03/07/2026,22:30,P87: 1º Grupo K vs 3º Grupo D/E/I/J/L,Kansas City Stadium
Octavos,Octavos,04/07/2026,14:00,P90: Gan. P73 vs Gan. P75,Houston Stadium
Octavos,Octavos,04/07/2026,18:00,P89: Gan. P74 vs Gan. P77,Philadelphia Stadium
Octavos,Octavos,05/07/2026,17:00,P91: Gan. P76 vs Gan. P78,New York/New Jersey Stadium
Octavos,Octavos,05/07/2026,21:00,P92: Gan. P79 vs Gan. P80,"Estadio Azteca, Ciudad de México"
Octavos,Octavos,06/07/2026,16:00,P93: Gan. P83 vs Gan. P84,Dallas Stadium
Octavos,Octavos,06/07/2026,21:00,P94: Gan. P81 vs Gan. P82,Seattle Stadium
Octavos,Octavos,07/07/2026,13:00,P95: Gan. P86 vs Gan. P88,Atlanta Stadium
Octavos,Octavos,07/07/2026,17:00,P96: Gan. P85 vs Gan. P87,BC Place Vancouver
Cuartos,Cuartos,09/07/2026,17:00,P97: Gan. P89 vs Gan. P90,Boston Stadium
Cuartos,Cuartos,10/07/2026,16:00,P98: Gan. P93 vs Gan. P94,Los Angeles Stadium
Cuartos,Cuartos,11/07/2026,18:00,P99: Gan. P91 vs Gan. P92,Miami Stadium
Cuartos,Cuartos,11/07/2026,22:00,P100: Gan. P95 vs Gan. P96,Kansas City Stadium
Semifinales,Semifinales,14/07/2026,16:00,P101: Gan. P97 vs Gan. P98,Dallas Stadium
Semifinales,Semifinales,15/07/2026,16:00,P102: Gan. P99 vs Gan. P100,Atlanta Stadium
Tercer puesto,Tercer puesto,18/07/2026,18:00,Perdedor P101 vs Perdedor P102,Miami Stadium
Final,Final,19/07/2026,16:00,Gan. P101 vs Gan. P102,"MetLife Stadium, New Jersey"
